statement_id,row_no,date,description_pdf,description_sa,amount,balance,category,is_spend,source
STMT006,1,2026-04-02,DEBIT ORDER SCHOOL FEES DEPT EDUC MENLYN 7513*1696,school fees dept educ menlyn,-1003.22,14833.75,Education,True,test_split
STMT006,2,2026-04-03,POS PURCHASE SASOL LENEXA KSUS REF POLOKWANE,sasol lenexa ksus ref polokwane,-207.31,14626.44,Transport,True,test_split
STMT006,3,2026-04-03,POS PURCHASE PUBLIX SNELLVILLE PRETORIA 03 APR,publix snellville pretoria,-170.48,14455.96,Groceries,True,test_split
STMT006,4,2026-04-04,CHECKERS PROSPER CAPE TOWN,checkers prosper cape town,-673.38,13782.58,Groceries,True,test_split
STMT006,5,2026-04-05,EFT PAYMENT VIRGIN ACTIVE SCRIPT ROSEBANK,virgin active script rosebank,-764.51,13018.07,Health,True,test_split
STMT006,6,2026-04-06,POS PURCHASE TOTALENERGIES HUNTINGDO JOHANNESBURG 06 APR,totalenergies huntingdo johannesburg,-1278.57,11739.5,Transport,True,test_split
STMT006,7,2026-04-06,MAGTAPE DEBIT DIRECT EKURHULENI ELECTRICITY JACQUAYLA HARRIS,direct ekurhuleni electricity jacquayla harris,-485.28,11254.22,Utilities,True,test_split
STMT006,8,2026-04-08,CARD PURCHASE BP 5069*1049,bp,-317.37,10936.85,Transport,True,test_split
STMT006,9,2026-04-08,POS PURCHASE TWITCH INTERACTIVE CAUS,twitch interactive caus,-53.59,10883.26,Entertainment,True,test_split
STMT006,10,2026-04-08,KRISPY KREME,krispy kreme,-40.6,10842.66,Entertainment,True,test_split
STMT006,11,2026-04-08,POS PURCHASE FOREIGN EXCHANGE RATE ADJUSTMENT FEE ZETTLE,foreign exchange rate adjustment fee zettle,-54.15,10788.51,Other Services,True,test_split
STMT006,12,2026-04-08,POS PURCHASE CHECKERS PRETORIA 4079*3382,checkers pretoria,-462.25,10326.26,Groceries,True,test_split
STMT006,13,2026-04-09,POS PURCHASE GULF GROSVENORDA NORTH GROSVEN,gulf grosvenorda north grosven,-1150.13,9176.13,Transport,True,test_split
STMT006,14,2026-04-09,CARD PURCHASE VIRGIN ACTIVE CONSULTATION 5621*3574,virgin active consultation,-83.86,9092.27,Health,True,test_split
STMT006,15,2026-04-10,POS PURCHASE MONTESSORI PRE SCHOOL,montessori pre school,-979.08,8113.19,Education,True,test_split
STMT006,16,2026-04-13,POS PURCHASE WOOLWORTHS FOOD,woolworths food,-263.55,7849.64,Groceries,True,test_split
STMT006,17,2026-04-13,POS PURCHASE CHECKERS OUTLET,checkers outlet,-721.26,7128.38,Groceries,True,test_split
STMT006,18,2026-04-14,POS PURCHASE MONTESSORI PRE SCHOOL REGISTRATION 5109*5107,montessori pre school registration,-759.03,6369.35,Education,True,test_split
STMT006,19,2026-04-14,POS PURCHASE KWIK 1560*3915,kwik,-113.49,6255.86,Groceries,True,test_split
STMT006,20,2026-04-16,NETWORK ATM FEE HUBBELL AVE MOINES JOHANNESBURG 3021*8279,network atm fee hubbell ave moines johannesburg,-96.96,6158.9,Other Services,True,test_split
