statement_id,row_no,date,description_pdf,description_sa,amount,balance,category,is_spend,source
STMT001,1,2026-04-02,POS PURCHASE AMPATH LAB 9981*7995,ampath lab,-509.93,30268.83,Health,True,test_split
STMT001,2,2026-04-02,DEBIT ORDER MONTESSORI PRE SCHOOL TUITION MENLYN 1161*7098 02 APR,montessori pre school tuition menlyn,-7257.74,23011.09,Education,True,test_split
STMT001,3,2026-04-03,CARD PURCHASE FOOD LOVERS MARKET CIRCLEVILLE,food lovers market circleville,-861.23,22149.86,Groceries,True,test_split
STMT001,4,2026-04-03,POS PURCHASE ARBYS HOLLYWOOD CAPE TOWN 7816*4741 03 APR,arbys hollywood cape town,-151.59,21998.27,Entertainment,True,test_split
STMT001,5,2026-04-04,CARD PURCHASE DEBONAIRS PIZZA JOHANNESBURG WIUS 7493*3753,debonairs pizza johannesburg wius,-186.4,21811.87,Entertainment,True,test_split
STMT001,6,2026-04-04,POS PURCHASE CELL RATES TAXES CAPE TOWN 1199*7947,cell rates taxes cape town,-402.72,21409.15,Utilities,True,test_split
STMT001,7,2026-04-04,POS PURCHASE SHELL HATFIELD,shell hatfield,-648.47,20760.68,Transport,True,test_split
STMT001,8,2026-04-05,ACI POWER LIG,aci power lig,-2048.72,18711.96,Utilities,True,test_split
STMT001,9,2026-04-05,SEATTLE COFFEE ROSEBANK 5203*8043 05 APR,seattle coffee rosebank,-177.69,18534.27,Entertainment,True,test_split
STMT001,10,2026-04-06,POS PURCHASE DAIRY QUEEN BONHAM 3699*9325,dairy queen bonham,-111.05,18423.22,Entertainment,True,test_split
STMT001,11,2026-04-06,CR,cr,-215.24,18207.98,Groceries,True,test_split
STMT001,12,2026-04-06,CARD PURCHASE CHICKEN LICKEN SAN DIEGO 6944*2300 06 APR,chicken licken san diego,-74.69,18133.29,Entertainment,True,test_split
STMT001,13,2026-04-07,EFT PAYMENT FSI CITY POWER LOCAL 5797*1404,fsi city power local,-482.26,17651.03,Utilities,True,test_split
STMT001,14,2026-04-07,POS PURCHASE SHOPRITE MEMBERS COM,shoprite members com,-326.8,17324.23,Groceries,True,test_split
STMT001,15,2026-04-07,DEBIT ORDER DELTA GAS BERGENFIELD 07 APR,delta gas bergenfield,-89.7,17234.53,Utilities,True,test_split
STMT001,16,2026-04-08,POS PURCHASE SPAR SUPER CENT PASCO MENLYN,spar super cent pasco menlyn,-63.96,17170.57,Other Services,True,test_split
STMT001,17,2026-04-08,POS PURCHASE ATM FEE,atm fee,-96.96,17073.61,Other Services,True,test_split
STMT001,18,2026-04-09,CARD PURCHASE SPOTIFY 4970*9439,spotify,-125.66,16947.95,Entertainment,True,test_split
STMT001,19,2026-04-10,POS PURCHASE MONTHLY MAINTENANCE FEE BLOEMFONTEIN 10 APR,monthly maintenance fee bloemfontein,-117.06,16830.89,Other Services,True,test_split
STMT001,20,2026-04-10,POS PURCHASE DRESS RIVERSIDE 6993*7049 10 APR,dress riverside,-575.55,16255.34,Other Services,True,test_split
STMT001,21,2026-04-11,POS PURCHASE BP MOKENA SANDTON 7943*7500,bp mokena sandton,-1715.89,14539.45,Transport,True,test_split
STMT001,22,2026-04-11,FAMILY 9148*4333,family,-1363.24,13176.21,Groceries,True,test_split
STMT001,23,2026-04-13,CARD PURCHASE SHELL 13 APR,shell,-832.24,12343.97,Transport,True,test_split
STMT001,24,2026-04-14,CARD PURCHASE SPUR SAN DIEGO 14 APR,spur san diego,-52.06,12291.91,Entertainment,True,test_split
STMT001,25,2026-04-15,POS PURCHASE DEBONAIRS PIZZA 3777*6645,debonairs pizza,-41.5,12250.41,Entertainment,True,test_split
STMT001,26,2026-04-15,POS PURCHASE ASTRON ENERGY 2495*4428,astron energy,-807.42,11442.99,Transport,True,test_split
STMT001,27,2026-04-15,POS PURCHASE WOOLWORTHS COM JOHANNESBURG,woolworths com johannesburg,-349.7,11093.29,Groceries,True,test_split
STMT001,28,2026-04-16,POS PURCHASE WOOLWORTHS FOOD COM 3209*2030,woolworths food com,-742.95,10350.34,Groceries,True,test_split
STMT001,29,2026-04-17,CARD PURCHASE DBT CRD ROMANS PIZZA BRISTOL SANDTON 9583*3983,dbt crd romans pizza bristol sandton,-108.62,10241.72,Entertainment,True,test_split
STMT001,30,2026-04-17,POS PURCHASE NORTHSIDE MARKET DURBAN 2446*8493,northside market durban,-494.54,9747.18,Groceries,True,test_split
STMT001,31,2026-04-17,CARD PURCHASE CHECKERS SOWETO 1829*5990 17 APR,checkers soweto,-344.38,9402.8,Groceries,True,test_split
STMT001,32,2026-04-17,POS PURCHASE STEERS COLLEGE PARK DATE PRETORIA,steers college park date pretoria,-177.79,9225.01,Entertainment,True,test_split
STMT001,33,2026-04-17,POS PURCHASE SHOPRITE AUBURN,shoprite auburn,-1183.61,8041.4,Groceries,True,test_split
STMT001,34,2026-04-21,RD STREET MINI MART BETHLEHEM PADATE HATFIELD 4274*5200 21 APR,rd street mini mart bethlehem padate hatfield,-187.62,7853.78,Groceries,True,test_split
STMT001,35,2026-04-21,POS PURCHASE ASTRON ENERGY AMPM BANNING 9636*1788 21 APR,astron energy ampm banning,-806.33,7047.45,Transport,True,test_split
STMT001,36,2026-04-22,DEB CITY MARKET RAILROAD AVE RIFLE 8556*5053,deb city market railroad ave rifle,-1087.93,5959.52,Groceries,True,test_split
STMT001,37,2026-04-22,CARD PURCHASE GEORGE WASHINGTON WINCHESTER,george washington winchester,-124.96,5834.56,Groceries,True,test_split
STMT001,38,2026-04-22,POS PURCHASE ASTRON ENERGY WINTER SPRING 22 APR,astron energy winter spring,-398.68,5435.88,Transport,True,test_split
STMT001,39,2026-04-23,NANDOS,nandos,-117.2,5318.68,Entertainment,True,test_split
STMT001,40,2026-04-24,CARD PURCHASE MOZARTS COFFEE ROA AUSTIN 1713*1867,mozarts coffee roa austin,-501.36,4817.32,Entertainment,True,test_split
STMT001,41,2026-04-24,POS PURCHASE PIQUA FRIENDLY GROCER 7177*5280 24 APR,piqua friendly grocer,-236.03,4581.29,Groceries,True,test_split
STMT001,42,2026-04-25,POS PURCHASE SPROUTS FARMER SPROUTS FARMERS OAKLAND ROSEBANK 8170*8081,sprouts farmer sprouts farmers oakland rosebank,-1098.1,3483.19,Groceries,True,test_split
STMT001,43,2026-04-25,POS PURCHASE ASTRON ENERGY QPS ROSEBANK 9257*3642,astron energy qps rosebank,-1112.92,2370.27,Transport,True,test_split
STMT001,44,2026-04-25,SALARY SUNVELD ENGINEERING,salary sunveld engineering,28200.0,30570.27,Income,False,generated
STMT001,45,2026-04-26,CARD PURCHASE CHECKERS ROSEBANK 3155*7141 26 APR,checkers rosebank,-207.53,30362.74,Groceries,True,test_split
STMT001,46,2026-04-26,GROVE MARKET PERSEVERANCE AUSTIN,grove market perseverance austin,-115.51,30247.23,Groceries,True,test_split
STMT001,47,2026-04-29,POS PURCHASE ESKOM AIRTIME JOHANNESBURG 1608*8479 29 APR,eskom airtime johannesburg,-247.97,29999.26,Utilities,True,test_split
STMT001,48,2026-04-30,POS PURCHASE ASTRON ENERGY ACWORTH 9932*8679 30 APR,astron energy acworth,-403.07,29596.19,Transport,True,test_split
STMT001,49,2026-04-30,MONTHLY ACCOUNT FEE,monthly account fee,-69.0,29527.19,Other Services,True,generated
STMT002,1,2026-09-01,MAGTAPE DEBIT SCHOOL FEES DEPT EDUC STUDENT FEES RANDBURG 01 SEP,school fees dept educ student fees randburg,-2103.22,15386.87,Education,True,test_split
STMT002,2,2026-09-04,DEBIT ORDER AMPATH LAB CENTURION 9650*2329,ampath lab centurion,-263.88,15122.99,Health,True,test_split
STMT002,3,2026-09-04,INTERNET PMT TO CITY TSHWANE ELECTRICITY 9293*7968,city tshwane electricity,-844.82,14278.17,Utilities,True,test_split
STMT002,4,2026-09-05,CARD PURCHASE BOJANGLES HOPE MILLS 4043*4307,bojangles hope mills,-261.19,14016.98,Entertainment,True,test_split
STMT002,5,2026-09-06,TRADER JOE TRADE LOS ES 9309*2294,trader joe trade los es,-366.66,13650.32,Groceries,True,test_split
STMT002,6,2026-09-06,DEBIT ORDER AMPATH LAB CONSULTATION,ampath lab consultation,-235.38,13414.94,Health,True,test_split
STMT002,7,2026-09-07,POS PURCHASE PIN CHECKERS SUP JOHANNESBURG VUS,pin checkers sup johannesburg vus,-551.36,12863.58,Groceries,True,test_split
STMT002,8,2026-09-08,GULF VERNON POLOKWANE,gulf vernon polokwane,-233.56,12630.02,Transport,True,test_split
STMT002,9,2026-09-11,AMPATH LAB CONSULTATION 2259*4386,ampath lab consultation,-1426.54,11203.48,Health,True,test_split
STMT002,10,2026-09-13,DBT CRD SHELL NEW CASTLE DURBAN 8533*8591,dbt crd shell new castle durban,-989.72,10213.76,Transport,True,test_split
STMT002,11,2026-09-13,POS PURCHASE NONTD ATM FEE,nontd atm fee,-96.96,10116.8,Other Services,True,test_split
STMT002,12,2026-09-13,POS PURCHASE SHOPRITE FREDERICKBURG,shoprite frederickburg,-529.81,9586.99,Groceries,True,test_split
STMT002,13,2026-09-15,CARD PURCHASE MONTHLY MAINTENANCE FEE,monthly maintenance fee,-117.06,9469.93,Other Services,True,test_split
STMT002,14,2026-09-15,POS PURCHASE MUGG BEAN,mugg bean,-173.81,9296.12,Entertainment,True,test_split
STMT002,15,2026-09-16,POS PURCHASE ATM FEE 2163*6083,atm fee,-96.96,9199.16,Other Services,True,test_split
STMT002,16,2026-09-16,IASSECRET COM JOHANNESBURG 9638*9628,iassecret com johannesburg,-696.6,8502.56,Other Services,True,test_split
STMT002,17,2026-09-17,POS PURCHASE WOOLWORTHS FOOD COM CENTURION 2753*2571 17 SEP,woolworths food com centurion,-940.13,7562.43,Groceries,True,test_split
STMT002,18,2026-09-18,POS PURCHASE SUPER FOODS 6196*2382 18 SEP,super foods,-621.24,6941.19,Groceries,True,test_split
STMT002,19,2026-09-19,POS PURCHASE SHELL GAS 19 SEP,shell gas,-351.29,6589.9,Transport,True,test_split
STMT002,20,2026-09-23,POS PURCHASE BURGER KING MELBOURNE 2590*7613 23 SEP,burger king melbourne,-535.18,6054.72,Entertainment,True,test_split
STMT002,21,2026-09-23,CARD PURCHASE NFL 2646*7171 23 SEP,nfl,-125.66,5929.06,Entertainment,True,test_split
STMT002,22,2026-09-24,CHICKEN LICKEN CENTURION,chicken licken centurion,-166.11,5762.95,Entertainment,True,test_split
STMT002,23,2026-09-24,CARD PURCHASE CKO PATREON MEMBER CAUS PRETORIA,cko patreon member caus pretoria,-411.19,5351.76,Entertainment,True,test_split
STMT002,24,2026-09-24,WOOLWORTHS FOOD HATFIELD 5437*2633 24 SEP,woolworths food hatfield,-178.85,5172.91,Groceries,True,test_split
STMT002,25,2026-09-25,CARD PURCHASE WOOLWORTHS,woolworths,-2546.34,2626.57,Groceries,True,test_split
STMT002,26,2026-09-25,SALARY BAOBAB CONSULTING,salary baobab consulting,28600.0,31226.57,Income,False,generated
STMT002,27,2026-09-25,POS PURCHASE SASOL,sasol,-1100.46,30126.11,Transport,True,test_split
STMT002,28,2026-09-26,TRANSFER TO SAVINGS,transfer savings,-1300.0,28826.11,Transfer,False,generated
STMT002,29,2026-09-26,CARD PURCHASE SASOL TUSCALOOSA 7174*6755 26 SEP,sasol tuscaloosa,-215.76,28610.35,Transport,True,test_split
STMT002,30,2026-09-27,POS PURCHASE SPAR ROCHESTER 27 SEP,spar rochester,-890.05,27720.3,Groceries,True,test_split
STMT002,31,2026-09-27,POS PURCHASE SCHOOL FEES DEPT EDUC TUITION POLOKWANE 5303*6293,school fees dept educ tuition polokwane,-2018.59,25701.71,Education,True,test_split
STMT002,32,2026-09-28,ATM FEE CAPE TOWN 7495*6310 28 SEP,atm fee cape town,-96.96,25604.75,Other Services,True,test_split
STMT002,33,2026-09-28,BURLINGTON STO BURLINGTON STORES MOINES 3121*6395,burlington sto burlington stores moines,-270.34,25334.41,Other Services,True,test_split
STMT002,34,2026-09-30,MONTHLY ACCOUNT FEE,monthly account fee,-99.0,25235.41,Other Services,True,generated
STMT002,35,2026-09-30,POS PURCHASE FOOD LION RALEIGH DURBAN 30 SEP,food lion raleigh durban,-130.97,25104.44,Groceries,True,test_split
STMT003,1,2026-08-01,DEBIT ORDER ESKOM FIBRE MIDRAND,eskom fibre midrand,-373.86,32153.58,Utilities,True,test_split
STMT003,2,2026-08-02,CITY POWER,city power,-2394.84,29758.74,Utilities,True,test_split
STMT003,3,2026-08-03,CARD PURCHASE ESKOM RATES TAXES SOWETO 8402*1495 03 AUG,eskom rates taxes soweto,-854.19,28904.55,Utilities,True,test_split
STMT003,4,2026-08-03,MAGTAPE DEBIT MONTESSORI PRE SCHOOL MENLYN 8978*7113,montessori pre school menlyn,-1897.35,27007.2,Education,True,test_split
STMT003,5,2026-08-03,EFT PAYMENT ALABAMAPOWERRW MIDRAND,alabamapowerrw midrand,-2098.15,24909.05,Utilities,True,test_split
STMT003,6,2026-08-03,CREDITNINJA,creditninja,-714.3,24194.75,Entertainment,True,test_split
STMT003,7,2026-08-04,SHELL SIG PUR HARRISONBURG 8577*1698,shell sig pur harrisonburg,-812.6,23382.15,Transport,True,test_split
STMT003,8,2026-08-05,POS PURCHASE SASOL HATFIELD,sasol hatfield,-1698.82,21683.33,Transport,True,test_split
STMT003,9,2026-08-05,INTERNET PMT TO MEDICLINIC DURBAN 05 AUG,mediclinic durban,-229.96,21453.37,Health,True,test_split
STMT003,10,2026-08-05,POS PURCHASE BOXER SUP 3742*8069,boxer sup,-96.05,21357.32,Groceries,True,test_split
STMT003,11,2026-08-06,POS PURCHASE MONTHLY MAINTENANCE FEE SANDTON 9346*4781,monthly maintenance fee sandton,-138.88,21218.44,Other Services,True,test_split
STMT003,12,2026-08-06,ENGEN HATFIELD,engen hatfield,-535.69,20682.75,Transport,True,test_split
STMT003,13,2026-08-06,POS PURCHASE SANFORD,sanford,-294.3,20388.45,Groceries,True,test_split
STMT003,14,2026-08-06,DEBIT ORDER FBS GREENWOOD UD RANDBURG 06 AUG,fbs greenwood ud randburg,-756.52,19631.93,Utilities,True,test_split
STMT003,15,2026-08-07,POS PURCHASE WOOLWORTHS FOOD HATFIELD 3853*3687,woolworths food hatfield,-638.53,18993.4,Groceries,True,test_split
STMT003,16,2026-08-07,POS PURCHASE PIN USE FEE ASTRON ENERGY ATKINSONS PEMBROKE WADE ROSEBANK,pin use fee astron energy atkinsons pembroke wade rosebank,-93.95,18899.45,Transport,True,test_split
STMT003,17,2026-08-07,POS PURCHASE EAST NORTHPOR,east northpor,-135.81,18763.64,Groceries,True,test_split
STMT003,18,2026-08-09,CARD PURCHASE ENGEN ELYSBURG PIN 2556*1598 09 AUG,engen elysburg pin,-769.27,17994.37,Transport,True,test_split
STMT003,19,2026-08-09,POS PURCHASE PUBLIX SNELLVILLE 09 AUG,publix snellville,-84.52,17909.85,Groceries,True,test_split
