statement_id,bank,bank_name,layout,customer,account_no,period_start,period_end,opening_balance,closing_balance,n_transactions,pdf_file,ground_truth_file
STMT001,protea,Protea Bank,ruled,MR A PIETERSEN,6867379230,2026-04-01,2026-04-30,30778.76,29527.19,49,STMT001_protea.pdf,STMT001_protea.csv
STMT002,karoo,Karoo Savings Bank,open,MR J BOTHA,9350158871,2026-09-01,2026-09-30,17490.09,25104.44,35,STMT002_karoo.pdf,STMT002_karoo.csv
STMT003,highveld,Highveld Mutual,zebra,MS P GOVENDER,5286315777,2026-08-01,2026-08-31,32527.44,38476.81,55,STMT003_highveld.pdf,STMT003_highveld.csv
STMT004,protea,Protea Bank,ruled,MR S NKOSI,7840134745,2026-09-01,2026-09-30,21589.5,29923.58,46,STMT004_protea.pdf,STMT004_protea.csv
STMT005,karoo,Karoo Savings Bank,open,MR J BOTHA,2862866436,2026-06-01,2026-06-30,27239.17,14571.67,64,STMT005_karoo.pdf,STMT005_karoo.csv
STMT006,highveld,Highveld Mutual,zebra,MS R SMITH,5864290229,2026-04-01,2026-04-30,15836.97,18524.97,44,STMT006_highveld.pdf,STMT006_highveld.csv
STMT007,protea,Protea Bank,ruled,MS L VAN WYK,5547492300,2026-06-01,2026-06-30,22194.64,24341.91,46,STMT007_protea.pdf,STMT007_protea.csv
STMT008,karoo,Karoo Savings Bank,open,MS N MAHLANGU,6939876198,2026-07-01,2026-07-31,14399.36,11584.7,45,STMT008_karoo.pdf,STMT008_karoo.csv
STMT009,highveld,Highveld Mutual,zebra,MR J BOTHA,2819028701,2026-04-01,2026-04-30,18131.74,30276.66,45,STMT009_highveld.pdf,STMT009_highveld.csv
STMT010,protea,Protea Bank,ruled,MR T MOKOENA,1597584511,2026-04-01,2026-04-30,22393.86,42127.9,44,STMT010_protea.pdf,STMT010_protea.csv
STMT011,karoo,Karoo Savings Bank,open,MR S NKOSI,9729386947,2026-08-01,2026-08-31,20208.94,39104.76,38,STMT011_karoo.pdf,STMT011_karoo.csv
STMT012,highveld,Highveld Mutual,zebra,MR T MOKOENA,8536451304,2026-06-01,2026-06-30,15354.48,21093.81,43,STMT012_highveld.pdf,STMT012_highveld.csv
STMT013,protea,Protea Bank,ruled,MS N MAHLANGU,6164607718,2026-08-01,2026-08-31,18126.46,39217.94,44,STMT013_protea.pdf,STMT013_protea.csv
STMT014,karoo,Karoo Savings Bank,open,MR A PIETERSEN,1361634153,2026-09-01,2026-09-30,23713.93,28817.11,42,STMT014_karoo.pdf,STMT014_karoo.csv
STMT015,highveld,Highveld Mutual,zebra,MR T MOKOENA,9164776360,2026-08-01,2026-08-31,26784.44,26849.86,46,STMT015_highveld.pdf,STMT015_highveld.csv
STMT016,protea,Protea Bank,ruled,MR T MOKOENA,1466246040,2026-04-01,2026-04-30,19205.79,41698.5,49,STMT016_protea.pdf,STMT016_protea.csv
STMT017,karoo,Karoo Savings Bank,open,MS N MAHLANGU,7415976622,2026-08-01,2026-08-31,21873.9,23183.97,46,STMT017_karoo.pdf,STMT017_karoo.csv
STMT018,highveld,Highveld Mutual,zebra,MS N MAHLANGU,5351949841,2026-09-01,2026-09-30,21849.09,43664.02,45,STMT018_highveld.pdf,STMT018_highveld.csv
STMT019,protea,Protea Bank,ruled,MS P GOVENDER,5876639381,2026-08-01,2026-08-31,31052.93,36644.66,50,STMT019_protea.pdf,STMT019_protea.csv
STMT020,karoo,Karoo Savings Bank,open,MS R SMITH,3119068153,2026-05-01,2026-05-31,36766.05,47232.32,46,STMT020_karoo.pdf,STMT020_karoo.csv
STMT021,highveld,Highveld Mutual,zebra,MS N MAHLANGU,5565915816,2026-09-01,2026-09-30,15715.04,38693.3,33,STMT021_highveld.pdf,STMT021_highveld.csv
STMT022,protea,Protea Bank,ruled,MS R SMITH,8694506157,2026-04-01,2026-04-30,23106.81,19629.22,45,STMT022_protea.pdf,STMT022_protea.csv
STMT023,karoo,Karoo Savings Bank,open,MR A PIETERSEN,2130879761,2026-05-01,2026-05-31,7932.03,21250.46,36,STMT023_karoo.pdf,STMT023_karoo.csv
STMT024,highveld,Highveld Mutual,zebra,MR T MOKOENA,7136104077,2026-09-01,2026-09-30,13912.16,31423.71,44,STMT024_highveld.pdf,STMT024_highveld.csv
STMT025,protea,Protea Bank,ruled,MR K NAIDOO,8911034963,2026-07-01,2026-07-31,13877.91,37057.65,38,STMT025_protea.pdf,STMT025_protea.csv
STMT026,karoo,Karoo Savings Bank,open,MR T MOKOENA,4426776772,2026-07-01,2026-07-31,18485.27,27053.01,39,STMT026_karoo.pdf,STMT026_karoo.csv
STMT027,highveld,Highveld Mutual,zebra,MS R SMITH,4386526699,2026-09-01,2026-09-30,29611.01,32814.15,53,STMT027_highveld.pdf,STMT027_highveld.csv
STMT028,protea,Protea Bank,ruled,MR K NAIDOO,4226100808,2026-08-01,2026-08-31,12908.92,40899.0,31,STMT028_protea.pdf,STMT028_protea.csv
STMT029,karoo,Karoo Savings Bank,open,MR K NAIDOO,5200359490,2026-08-01,2026-08-31,25668.05,21478.13,55,STMT029_karoo.pdf,STMT029_karoo.csv
STMT030,highveld,Highveld Mutual,zebra,MR T MOKOENA,6945929336,2026-06-01,2026-06-30,22084.1,26623.68,45,STMT030_highveld.pdf,STMT030_highveld.csv
